"id","exerciseName","exerciseCategory","video","instructions","likes_count"
3,Angled Leg Press,Thighs,https://www.youtube.com/v/nem4L1Athz8?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Adjust the back pad angle slot to the one nearest the middle and then sit in the machine. 

 

Place your feet about 6-8 inches apart on the center of the platform and your toes pointing forward at their natural angle and grab the handles next to your hips. 

 

With a good arch in your back, press the weight up and release the locks on the machine. 

 

Lower the weight until your knees are at a 90 degree angle, being sure to keep your hips down on the seat, your back arched, and your knees moving out in the same direction as your feet throughout the movement. 

 

Keep the bottom of your feet in full contact with the platform, but mentally focus on driving the weight up through your heels. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 4 seconds, with the downward movement no faster than the upward. 

 

Do not bounce at the bottom of the movement and never lock your knees at the top.  



Focus your mind on your thigh muscles. Feel yourself pushing through your heels.",1
4,Barbell Bench Press,Chest,https://www.youtube.com/v/gRVjAtPip0Y?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Lie on a flat bench with your feet on the ground and your shoulders about 3-4 inches down the bench from the uprights. 

 

Grip the bar about 3-4 inches wider than shoulder width and space your hands evenly using the markings on the bar. 

 

Lift the bar off the rack to a point directly above your shoulder joints. 

 

Lower the bar to the center of your chest (Pectorals) with your upper arms moving directly out to the sides; touch your chest lightly. 

 

Press the bar up to the starting position; do not lock your elbows at the top. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward. 

 

Do not bounce the bar off your chest and always keep your buttocks on the bench.",0
6,Barbell Reverse Wrist Curls,Forearms,https://www.youtube.com/v/RuZ3GsXdYw8?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Sit on the end of a flat bench with your feet about shoulder width apart.



With your palms facing the floor, grip the barbell and run your forearms along your thighs, positioned so your wrists, hands, and the barbell hang off the end of your knees.



Let the barbell hang down as far as possible to fully stretch the forearm muscles. Curl your wrist up in a semicircular arc as high as possible.



Return the barbell to the starting position.



The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
7,Barbell Shrugs,Trapezius,https://www.youtube.com/v/TohO_zEJlU4?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Take a shoulder width grip on the barbell with your palms facing toward you. 

 

Lift the barbell off the rack where it rests by bending and straightening your legs; be sure to maintain a good arch in your back and keep your head up throughout the exercise (if the barbell is resting on the floor, use the same form as described for Deadlifts to lift it to the starting position). 

 

Holding the barbell across your upper thighs, relax your shoulders and then shrug your shoulders up and back as far as possible trying to touch your ears to your shoulders; hold the position for a moment and return to the starting position. 

 

Keep your torso still and your arms straight throughout the movement. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward. 

 

Do not arch your back.",0
8,Barbell Upright Rows,Trapezius,https://www.youtube.com/v/3UYV75FJQM0?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Stand with your feet shoulder width apart; hold the barbell in front of your upper thighs with your palms facing your body.



Grip the barbell in the middle with 6-8 inches between your hands. With your elbows above the level of your hands throughout the movement, lift the barbell along your body until your elbows reach shoulder height.



Keep your torso still throughout the movement and pull your shoulders back at the top of the movement.



The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
9,Barbell Wrist Curls,Forearms,https://www.youtube.com/v/_oYfdKGlKSk?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Sit on the end of a flat bench with your feet about shoulder width apart.



With your palms facing the ceiling, grip the barbell and run your forearms along your thighs, positioned so your wrists, hands, and the barbell hang off the end of your knees.



Let the barbell hang down as far as possible to fully stretch the forearm muscles. Curl your wrist up in a semicircular arc as high as possible. Return the barbell to the starting position. 



The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
10,Bent-Over Barbell Rows,Back,https://www.youtube.com/v/AyJ5n_Pd1YE?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"With a good arch in your back and your legs bent, bend over and take a shoulder-width over grip on the barbell, making sure to space your hands evenly using the markings on the bar.



Straighten your legs enough to lift the barbell off the ground; your arms should be extended with approximately a 10-20 degree bend at the elbow.



Pull the barbell up to the center of your abdomen, with your upper arms at a 45 degree angle to your torso and maintaining a fixed position with your torso throughout the movement.



Return the barbell to the starting position.



The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
11,Bicycle Crunches,Abdominals,https://www.youtube.com/v/EEQYehfYnAw?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Lie on the floor with your knees bent at about 90 degrees and your lower legs elevated in a position parallel to the ground. 

 

Place your hands behind your head without interlocking your fingers. 

 

Simultaneously pull your knees in toward your hips one after the other and bring your opposite elbow towards the pulled in knee; your leg motion should be similar to that of a person riding a bicycle. 

 

Do not pull head with hands. 

 

The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the inward movement no faster than the outward.",0
12,Cable Crossovers,Chest,https://www.youtube.com/v/6UaNLOZds08?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Attach loop handles to two overhead cables and stand at the midpoint between them with your feet about shoulder width apart.



Grab the cables with your palms facing the floor and your arms extended up toward the pulleys; bend your elbows about 20-30 degrees and maintain this angle throughout the movement.



Lean your torso forward and maintain that torso angle throughout the movement.



Pull the handles down on a semicircular arc until they meet about 6 inches in front of your hips.



Return the handles to the starting position along the same arc.



The entire motion should be done in a smooth, controlled manner that lasts about 3 seconds, with the downward movement no faster than the upward.",0
14,Triceps Cable Pushdowns,Triceps,https://www.youtube.com/v/YUfLlzNmEWA?fs=1&hl=en_US&rel=0&showinfo=0&hd=1&color2=0x548ECD&autoplay=1&autohide=0&controls=1&loop=1&modestbranding=1,"Attach a short bar that is angled down from the middle towards both ends (a pushdown bar) to an overhead pulley.



Stand with your feet shoulder width apart and a slight bend in your knees about 1 foot from the pushdown bar and facing the stack; maintain the natural curve in your low back throughout the movement.



Grip the bar with your hands about 4-6 inches apart, with palms facing down towards the floor and bend your elbows slightly more than 90 degrees.



Push the bar down towards the floor until your elbows are straight, making sure to keep them close to your sides; keep your torso motionless throughout the movement.



Reverse the movement and return to the starting position.



The entire motion should be performed in a smooth, controlled manner that lasts about 3 seconds with the downward movement no faster than the upward.",0
